FechaCompra,Codigo,Nombre,Proveedor,Precio,Cantidad,Observaciones
6277.0,,PUMPKIN Rollo Alam.sol.FLUX E71 0.8x1kg-17934,Chiesa,10907.0,0,
6262.0,,PUMPKIN Rollo Alam.sold.ER70S6 1.2x15kg-17933,Chiesa,51897.0,0,
6255.0,,PUMPKIN Rollo Alam.sold.ER70S6 0.9x5kg -17931,Chiesa,21896.0,0,
6251.0,,PUMPKIN Rollo Alam.sold.ER70S6 0.8x5kg -17930,Chiesa,22335.0,0,
4067.0,,STANLEY Amoladora STGS-9115 4.1/2'-900W,Chiesa,110350.0,0,
4066.0,,B+D Taladro-Ator.BCD-704C1 20V-10mm-Perc-Vvr,Chiesa,161234.0,0,
2428.0,,B+D Pistola calor HG-1500 Temper.var-1500W,Chiesa,65569.0,0,
7158.0,,PUMPKIN Disco S.Circ.7.1/4x40d-Mad-FA185TCT40,Chiesa,11193.0,0,
7157.0,,PUMPKIN Disco S.Circ.7.1/4x36d-Mad-FA185TCT36,Chiesa,10729.0,0,
7156.0,,PUMPKIN Disco S.Circ.7.1/4x24d-Mad-FA185TCT24,Chiesa,9165.0,0,
7010.0,,PUMPKIN Disco Removedor Fibra 180x22 -33375,Chiesa,16805.0,0,
7009.0,,PUMPKIN Disco Removedor Fibra 115x22 -33374,Chiesa,6654.0,0,
6980.0,,PUMPKIN Disco Flap Zirconio 115mm- #40 -23179,Chiesa,2022.0,0,
7054.0,,PUMPKIN Destorn.1000V Phillips #2x100mm-17177,Chiesa,4278.0,0,
7050.0,,PUMPKIN Destorn.1000V Phillips #1x80mm -17176,Chiesa,3550.0,0,
7048.0,,PUMPKIN Destorn.1000V Plano 5.5x125mm -17172,Chiesa,3874.0,0,
7032.0,,PUMPKIN Destorn.1000V Plano 4x100mm -17171,Chiesa,3049.0,0,
6439.0,,FACSA Cepillo alamb.circ.rizad.M14-100mm-2001,Chiesa,4418.0,0,
7117.0,,PUMPKIN Llave combinada acodada 17mm -44521,Chiesa,6093.0,0,
7113.0,,PUMPKIN Llave combinada acodada 13mm -44517,Chiesa,4354.0,0,
7111.0,,PUMPKIN Llave combinada acodada 11mm -44515,Chiesa,3656.0,0,
7109.0,,PUMPKIN Llave combinada acodada 9mm -44513,Chiesa,3112.0,0,
4501.0,,RAYOVAC Linterna plast.econ.P/D -1Led-25Lm,Chiesa,6571.0,0,
4192.0,,RAYOVAC Linterna plast.econ.p/AA -1Led-25Lm.,Chiesa,4690.0,0,
5013.0,,ENERGIZER Bateria Alcalina -9V- Blister x1.,Chiesa,6315.0,0,
6740.0,,PUMPKIN Pinza Presion Hojalatera 10' -14918,Chiesa,27007.0,0,
6631.0,,PUMPKIN Pelacable Autoajust. 8' h/10mm -14618,Chiesa,17784.0,0,
8042.0,,STANLEY pinza presion curva 254mm 84-369,Chiesa,0.0,0,
5026.0,,DW Amoladora DWE-490 9'-6500rmp-2200W,Chiesa,349813.0,0,
